Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Natuashish 2 (1010801) IRI 02021,165,47787,45184,55193,0,51847,0
Division No. 11 (1011)   00001,700,51072,45261,57761,0,49615,0
Rigolet (1011010) T 00000,90,48128,42624,53197,0,45063,0
Postville (1011015) T 00000,0,0,0,0,0,0,0
Makkovik (1011020) T 00000,115,49536,43904,56234,0,48346,0
Hopedale (1011030) T 00200,150,43392,41248,50784,0,44171,0
Nain (1011035) T 01100,270,57728,49728,64943,0,55434,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,53135,46553,40778,55396,419,46779,296
Kings (1101)   00000,7160,44290,39600,52619,913,45000,693
Lot 64 (1101001) LOT 01000,375,56203,46810,57484,3465,48713,2757
Murray Harbour (1101002) COM 01020,160,42587,38740,54556,5521,47450,4391
Murray River (1101004) COM 01010,175,48625,39671,59810,10457,48919,6490
Lot 63 (1101006) LOT 00000,345,39893,36317,49833,3633,42534,2799
Lot 61 (1101008) LOT 01010,320,44075,40028,50271,3461,43311,2668
Lot 59 (1101009) LOT 01010,475,41996,38197,52206,3533,45349,2875
Lot 66 (1101011) LOT 00000,0,0,0,0,0,0,0
Lot 51 (1101014) LOT 00000,270,57136,49425,67916,6828,56329,5108
Lot 52 (1101016) LOT 01000,315,36819,30814,45893,3336,40557,2760
Montague (1101018) T 00000,805,31371,29270,41575,2321,36195,1794
Lot 53 (1101019) LOT 01000,155,43095,40279,53372,5115,46603,3953
Cardigan (1101021) COM 00000,130,45405,37213,47243,4164,41191,3219
"Kings, Royalty (1101022) LOT 00000",110,51590,45702,52351,5739,44618,4403
Georgetown (1101024) T 01000,235,37195,34876,40792,2850,36526,2410
Lot 54 (1101026) LOT 00000,160,45173,39285,48087,4355,41462,3454
Lot 55 (1101028) LOT 01010,155,42883,36995,44049,3654,38381,3017
Lot 56 (1101029) LOT 00000,160,49925,42843,49146,4400,42588,3732
Lot 43 (1101031) LOT 00000,290,44371,39663,55321,4525,47237,3414
Lot 44 (1101032) LOT 00000,320,60702,47842,64281,4908,52764,3598
Lot 45 (1101034) LOT 00000,175,51742,44573,57499,6138,50079,4998
Souris (1101036) T 00010,500,35826,31877,45927,3111,39537,2482
Lot 46 (1101038) LOT 01000,155,58863,49903,61918,6918,52096,5521
Lot 47 (1101039) LOT 00000,185,47090,40516,55909,5364,48596,4132
Lot 42 (1101041) LOT 00000,105,44855,40314,53772,10256,42211,4933
Lot 41 (1101042) LOT 01000,180,50704,40339,65156,9947,54223,6993
St. Peters Bay (1101044) COM 01010,0,0,0,0,0,0,0
Lot 40 (1101046) LOT 00010,180,61417,54249,62533,5338,53449,4322
Morell (1101048) COM 01000,115,52729,48364,62000,6999,53854,5709
Lot 39 (1101049) LOT 00000,245,52892,44956,63118,4954,52932,3882
Lot 38 (1101051) LOT 01000,175,43261,39675,46565,4421,40376,3605
Queens (1102)   00000,28690,48376,42359,58397,657,48714,451
Lot 62 (1102001) LOT 01000,205,45816,38392,53454,5219,46374,3861
Lot 60 (1102004) LOT 01010,135,33928,29686,46312,5350,40276,4174
Lot 58 (1102006) LOT 01010,205,42916,38493,47626,5435,41380,4250
Lot 57 (1102008) LOT 00000,345,39255,35510,45405,3426,39623,2748
Lot 50 (1102009) LOT 00000,300,37902,33962,51363,4119,44337,3291
Lot 49 (1102012) LOT 00000,390,44699,39812,54432,6039,45411,3985
Lot 48 (1102014) LOT 00000,665,50019,43767,68271,11444,54642,6462
Lot 31 (1102026) LOT 00000,565,58058,49229,57697,2461,49616,1981
Lot 65 (1102028) LOT 01000,765,52797,45709,66283,5146,54380,3181
Lot 30 (1102029) LOT 01010,285,50964,43002,57043,4046,48061,3081
Rocky Point 3 (1102030) IRI 00010,0,0,0,0,0,0,0
Lot 29 (1102031) LOT 00000,375,48458,42455,53969,3096,46328,2407
Victoria (1102032) COM 02000,0,0,0,0,0,0,0
Meadowbank (1102033) COM 01010,150,78132,65844,78638,7780,63873,5964
Crapaud (1102034) COM 00000,135,51982,44656,58251,6684,48980,5159
Lot 67 (1102036) LOT 00000,310,48098,44461,50637,3248,43779,2558
Clyde River (1102037) COM 00000,215,64887,55415,64561,4354,54858,3497
Lot 20 (1102038) LOT 00000,280,50959,45401,59806,4724,51587,4212
Lot 21 (1102039) LOT 00010,340,45631,41838,57446,4599,48696,3551
Miltonvale Park (1102040) COM 00000,440,55393,46813,52362,2809,44827,2131
Lot 22 (1102041) LOT 00010,200,46382,42603,53800,5136,45809,3728
Lot 23 (1102042) LOT 00000,305,41395,36787,48549,4321,41796,3408
Hunter River (1102043) COM 00000,100,35768,31964,49638,7716,41721,5501
Lot 24 (1102044) LOT 00000,605,49906,42736,51559,2466,44333,1980
Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust. (1102045) COM 01020,95,42186,37066,48612,4432,41883,3332
North Rustico (1102046) COM 00000,255,43687,37799,59391,4819,50141,3700
Brackley (1102048) COM 00000,125,59703,49208,60039,5162,50457,4064
Lot 33 (1102049) LOT 00010,395,57131,48740,65136,6475,53026,4275
Union Road (1102050) COM 00000,0,0,0,0,0,0,0
Breadalbane (1102051) COM 00000,0,0,0,0,0,0,0
Lot 34 (1102052) LOT 00000,855,57962,48831,66233,2908,55070,2128
Lot 35 (1102054) LOT 00000,575,55760,47704,62833,3420,52845,2636
Lot 36 (1102056) LOT 01011,265,53120,45867,59554,4131,50962,3155
Scotchfort 4 (1102057) IRI 01001,0,0,0,0,0,0,0
Lot 37 (1102058) LOT 00000,200,47867,39837,54935,4128,47567,3268
Mount Stewart (1102059) COM 00000,105,44044,38924,51169,6507,43684,4810
Winsloe South (1102065) COM 00000,0,0,0,0,0,0,0
Warren Grove (1102070) COM 00000,115,61603,51190,65477,6691,56511,5335
Charlottetown (1102075) CY 00000,13740,41178,36815,54962,977,45729,682
Stratford (1102080) T 00000,2640,63949,53257,72235,1927,59013,1410
Cornwall (1102085) T 00000,1680,60388,51703,66147,2382,54852,1662
Prince (1103)   00000,17280,44486,39207,51564,562,44305,427
Lot 28 (1103001) LOT 01010,340,42944,39538,48486,3691,42525,3006
Borden-Carleton (1103005) COM 00000,325,40998,36134,56691,9253,46123,6063
Lot 27 (1103006) LOT 01010,295,47246,43668,55177,3654,48141,2923
Kinkora (1103008) COM 00010,120,48554,41681,52968,5849,45550,4490
Lot 26 (1103009) LOT 00000,345,56447,51624,59295,3674,50594,2957
Central Bedeque (1103010) COM 00000,0,0,0,0,0,0,0
Lot 25 (1103011) LOT 00010,420,56939,48177,63672,3636,53153,2646
Lot 19 (1103012) LOT 00000,725,53554,45853,60355,2861,50872,2189
Bedeque (1103013) COM 00000,0,0,0,0,0,0,0
Kensington (1103014) T 00000,625,42369,39032,52442,3409,44622,2583
Lot 18 (1103016) LOT 01010,405,50656,45115,57271,3841,48741,3003
Sherbrooke (1103018) COM 01000,0,0,0,0,0,0,0
Lot 17 (1103019) LOT 00000,200,46229,37256,50367,4723,43363,3930
Linkletter (1103023) COM 00000,115,51577,45437,59213,5148,50958,3955
Miscouche (1103024) COM 00000,315,44277,39476,47198,3153,40119,2341
Summerside (1103025) CY 00000,5950,41988,37708,50510,936,43303,720
Lot 15 (1103026) LOT 01010,460,42997,36597,49388,2606,42499,2009
Abrams Village (1103027) COM 00000,105,45701,39627,54553,7206,47588,6029
Lot 16 (1103028) LOT 01010,255,58892,50186,64325,7219,52494,4189
Wellington (1103029) COM 01000,165,41399,36880,49133,5404,43183,4333
Lot 14 (1103031) LOT 00000,265,60957,52092,66609,5661,56383,4503
Lot 13 (1103032) LOT 00000,270,46391,41794,58355,5315,49797,3951
Tyne Valley (1103033) COM 01010,0,0,0,0,0,0,0
Lot 12 (1103034) LOT 00010,330,40458,37228,48949,4230,42565,3270
Lennox Island 1 (1103035) IRI 00000,75,37248,36480,40664,0,39599,0
Lot 11 (1103036) LOT 00010,195,36205,33251,46461,4262,40694,3491
Lot 10 (1103038) LOT 01000,120,31007,29805,36605,3969,33145,3153
Lot 6 (1103041) LOT 00000,335,37587,33190,41600,3018,36973,2550
O'Leary (1103042) COM 00010,360,27339,27304,32340,2184,29193,1744
Lot 9 (1103044) LOT 01000,135,48475,43106,47964,5368,42254,4354
Lot 8 (1103046) LOT 01000,240,42639,38287,46771,3158,40553,2470
Lot 7 (1103048) LOT 01010,210,44668,39490,44506,3325,39143,2670
Lot 5 (1103049) LOT 00010,455,56396,48762,67539,3672,56719,2847
Lot 4 (1103051) LOT 00000,420,46823,40766,51333,3225,44671,2248
Alberton (1103052) T 00000,460,35273,32980,42378,3163,37194,2481
Lot 3 (1103054) LOT 00000,310,49633,42849,53655,3444,46410,2806
Lot 2 (1103056) LOT 00000,560,44114,40378,49168,2642,43065,2106
St. Louis (1103057) COM 00000,0,0,0,0,0,0,0
Lot 1 (1103058) LOT 01000,665,50413,44902,53372,2419,46654,2002
Tignish (1103059) COM 00010,330,30654,29716,42668,3274,37387,2592
Miminegash (1103062) COM 00000,0,0,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,376845,46605,40591,57366,183,47725,126
Shelburne (1201)   00000,6480,40514,36251,47589,882,40633,663
Barrington (1201001) MD 00000,2990,44541,38582,50424,1270,42599,954
Clark's Harbour (1201004) T 00000,375,35830,33417,46706,3757,39946,2839
Shelburne (1201006) MD 01010,1990,40415,36015,46971,1739,40389,1291
Shelburne (1201008) T 00000,850,35341,30906,41918,2153,36195,1681
Lockeport (1201009) T 00000,275,33854,32405,40064,3023,35750,2430
Yarmouth (1202)   00000,10650,41744,36839,50535,751,43070,564
Argyle (1202001) MD 00001,3375,49898,42412,55707,1252,47305,958
Yarmouth (1202004) MD 00001,4075,44323,39362,53799,1332,45524,993
Yarmouth (1202006) T 00000,3135,31584,28500,41131,1296,35600,957
Yarmouth 33 (1202040) IRI 01020,0,0,0,0,0,0,0
Digby (1203)   00000,8070,38284,34351,46137,864,39631,629
Clare (1203001) MD 00000,3700,41450,36822,48785,1293,41735,937
Digby (1203004) MD 00000,3360,38062,34368,46029,1310,39684,957
Digby (1203006) T 00010,970,28551,25959,37371,2780,32105,2013
Bear River (Part) 6 (1203009) IRI 00000,0,0,0,0,0,0,0
Queens (1204)   00000,4700,39972,35013,47478,996,40414,755
Queens (1204010) RGM 00001,4685,40009,35084,47538,1006,40454,762
Annapolis (1205)   00000,9205,37024,33610,45337,734,38956,573
"Annapolis, Subd. D (1205001) SC 00000",1230,36689,34069,47464,2166,40528,1619
"Annapolis, Subd. A (1205004) SC 01000",2745,35847,32503,42236,1065,37089,854
Annapolis Royal (1205008) T 00010,250,36480,33456,48144,4816,41269,3841
"Annapolis, Subd. B (1205009) SC 00010",1510,36200,33545,42735,1631,37295,1278
Bridgetown (1205012) T 00000,450,38248,33146,46673,4111,39119,2835
"Annapolis, Subd. C (1205014) SC 00000",2130,39499,35409,48835,1769,41770,1322
Middleton (1205016) T 00000,880,40351,35197,46914,2584,38162,2360
Lunenburg (1206)   00000,20080,43257,38238,52045,718,43891,519
Lunenburg (1206001) MD 00000,10400,45088,39470,51441,763,43699,568
Bridgewater (1206004) T 00000,3585,40123,35349,50901,1743,42456,1189
Lunenburg (1206006) T 00000,990,37822,35016,48058,2276,41460,1781
Mahone Bay (1206008) T 00000,425,36374,31319,48480,3606,40441,2738
Chester (1206009) MD 00000,4650,42776,38122,55635,2142,46398,1541
Gold River 21 (1206011) IRI 00000,0,0,0,0,0,0,0
Kings (1207)   00000,24195,44744,38887,52919,522,44590,388
"Kings, Subd. A (1207001) SC 00100",8640,47707,41553,53221,768,45025,575
Cambridge 32 (1207002) IRI 00100,0,0,0,0,0,0,0
Berwick (1207004) T 00100,935,43730,36194,49159,2227,41498,1710
"Kings, Subd. C (1207011) SC 00100",3385,42588,37459,50619,1264,43016,982
Kentville (1207012) T 00110,2555,44164,37754,52055,1590,43228,1218
"Kings, Subd. B (1207016) SC 00100",4725,44093,38421,53886,1351,45563,991
"Kings, Subd. D (1207021) SC 00100",2190,45131,38289,53268,1779,44785,1242
Wolfville (1207024) T 01110,1685,36979,33968,57303,2811,47068,2064
Glooscap 35 (1207027) IRI 00100,0,0,0,0,0,0,0
Hants (1208)   00000,15835,49630,43248,56640,594,47762,452
West Hants (1208001) MD 00000,5465,46036,40818,53615,950,45757,740
Windsor (1208002) T 01010,1465,34414,31798,46639,2248,39910,1691
Hantsport (1208004) T 00000,510,49283,43325,60474,4184,50107,2993
East Hants (1208008) MD 00000,8075,56591,48112,61490,895,51281,675
Indian Brook 14 (1208014) IRI 00000,325,20352,20352,25948,0,25646,0
Halifax (1209)   01010,155125,54108,45893,66325,356,53873,236
Cole Harbour 30 (1209019) IRI 01010,0,0,0,0,0,0,0
Halifax (1209034) RGM 01010,155045,54129,45908,66339,356,53883,236
Colchester (1210)   01010,20860,42782,38052,51808,719,43804,508
"Colchester, Subd. C (1210001) SC 01010",5225,47618,41312,53675,1097,45508,812
Stewiacke (1210002) T 00000,590,41787,37201,48552,2842,42384,2291
Millbrook 27 (1210003) IRI 00100,250,27456,26816,44857,0,44183,0
Truro (1210006) T 01010,5555,37056,32977,49603,1867,41128,1163
"Colchester, Subd. B (1210008) SC 01010",7750,45166,40009,54248,1075,45850,757
"Colchester, Subd. A (1210012) SC 01010",1485,40423,36008,43228,1450,37645,1152
Cumberland (1211)   00000,13600,38433,34737,46720,672,40278,510
"Cumberland, Subd. A (1211001) SC 00000",1005,35255,33054,42265,1712,36786,1337
Parrsboro (1211002) T 00000,660,27472,26091,40636,3029,35184,2244
"Cumberland, Subd. B (1211006) SC 00000",1565,40959,38176,47958,1521,41516,1190
Springhill (1211008) T 01000,1595,36995,33120,43577,1616,37713,1253
"Cumberland, Subd. C (1211009) SC 01010",2250,44329,38819,54923,2195,46740,1669
Amherst (1211011) T 00000,4150,36539,33435,44856,1103,38958,852
Oxford (1211012) T 00000,510,37734,34277,46737,3691,40153,2796
"Cumberland, Subd. D (1211014) SC 01000",1860,39214,35368,47175,2062,40297,1471
Pictou (1212)   01010,19290,43475,38076,53371,766,44794,559
"Pictou, Subd. A (1212001) SC 01010",2690,47308,40463,57720,1624,47892,1214
Pictou (1212004) T 00000,1545,41905,36495,55365,3589,45740,2389
"Pictou, Subd. B (1212006) SC 01010",2360,44024,38072,51898,1417,44246,1094
Westville (1212008) T 01010,1540,38262,35873,47467,1732,40953,1363
Stellarton (1212009) T 00000,2040,40252,34786,47437,1872,40460,1359
"Pictou, Subd. C (1212011) SC 01010",3700,47021,41179,57620,2487,48219,1902
New Glasgow (1212014) T 01000,4160,39979,35546,53885,1738,44416,1178
Trenton (1212016) T 01010,1125,43687,39366,48900,1839,42161,1453
Fisher's Grant 24 (1212019) IRI 00000,130,24128,24000,30090,0,29907,0
Guysborough (1213)   01000,3890,34894,32698,44553,1177,38845,901
St. Mary's (1213001) MD 01000,1115,35789,33519,43315,1849,37906,1464
Guysborough (1213004) MD 01000,2045,34987,31980,44915,1692,39138,1300
Canso (1213006) T 01010,375,30502,30357,36630,2915,33473,2364
Mulgrave (1213008) T 00000,345,40339,35794,54959,5017,45938,3566
Antigonish (1214)   00000,7225,49581,43196,60236,1219,50309,889
"Antigonish, Subd. A (1214001) SC 00000",2895,55019,48542,65877,2252,54919,1632
Antigonish (1214002) T 00000,1825,38100,34540,56398,2704,46463,1923
"Antigonish, Subd. B (1214006) SC 01010",2390,49696,43136,58054,1684,48934,1275
Pomquet And Afton 23 (1214010) IRI 01010,110,16576,16576,22759,0,22571,0
Inverness (1215)   01010,7485,45687,39975,53633,971,45333,690
"Inverness, Subd. C (1215001) SC 00000",1420,54178,46037,59375,2105,49782,1611
Port Hawkesbury (1215002) T 00000,1390,48141,40345,55183,2310,45705,1678
"Inverness, Subd. B (1215006) SC 00000",2070,48004,42184,55233,1802,47033,1344
Whycocomagh 2 (1215008) IRI 02020,170,22496,21728,28508,0,27824,0
"Inverness, Subd. A (1215011) SC 01010",2430,41716,37549,49784,2055,42295,1341
Richmond (1216)   00000,3970,40188,36081,48771,1077,41937,814
"Richmond, Subd. C (1216001) SC 00000",1380,42278,38212,51654,2181,44262,1609
"Richmond, Subd. A (1216006) SC 00000",1680,41394,36988,50060,1669,42765,1300
"Richmond, Subd. B (1216011) SC 00000",775,38830,35464,44051,2529,38107,1845
Chapel Island 5 (1216014) IRI 00000,130,24000,24000,29342,0,29185,0
Cape Breton (1217)   01000,43085,40451,36550,49665,403,42680,291
Membertou 28B (1217008) IRI 01010,240,26944,26432,35234,0,34784,0
Eskasoni 3 (1217020) IRI 00000,835,15808,15808,24835,0,24657,0
Cape Breton (1217030) RGM 01010,42015,41257,36905,50241,436,43084,313
Victoria (1218)   01010,3100,44134,39400,51179,1221,43913,953
"Victoria, Subd. B (1218001) SC 00000",1755,45814,41232,54178,1978,45821,1531
Wagmatcook 1 (1218003) IRI 02020,120,25536,25536,29717,0,29418,0
"Victoria, Subd. A (1218006) SC 01000",1220,43066,39061,48985,1771,42600,1405
New Brunswick / Nouveau-Brunswick (13)   00000,295965,45194,39984,55010,177,46342,126
Saint John (1301)   01010,31810,42216,37328,51906,534,43766,374
Saint Martins (1301001) P 01010,460,41226,39880,45228,2515,39495,2008
St. Martins (1301002) VL 01020,155,53641,43358,49292,4001,43147,3229
Simonds (1301004) P 00000,1385,51323,44624,60241,3350,49775,2174
Saint John (1301006) CY 01010,29310,41459,36848,51618,553,43530,390
Musquash (1301016) P 00000,500,50663,44351,52635,2495,45113,1965
Charlotte (1302)   00000,11160,40897,36625,49653,691,42584,539
Grand Manan (1302001) P 00000,0,0,0,0,0,0,0
Campobello (1302004) P 00010,420,38159,34729,43805,2745,38738,2198
West Isles (1302006) P 00010,370,40640,38903,49275,4043,42262,3039
Lepreau (1302008) P 01000,355,42747,38633,47872,3257,41354,2578
Pennfield (1302011) P 00000,950,42996,39446,51717,2099,44366,1615
Blacks Harbour (1302012) VL 01010,405,36575,34815,43971,2729,38434,2200
Saint George (1302016) P 01010,1030,41632,36579,50132,2077,42972,1626
St. George (1302018) T 00000,520,45112,41188,55791,3177,47736,2462
Saint Patrick (1302021) P 01020,305,43854,38245,48720,4701,40657,3787
Saint Andrews (1302024) P 00011,240,53136,45373,61821,4913,52177,3878
Saint Andrews (1302026) T 00000,785,44016,40130,56374,3024,46863,2242
Saint Croix (1302028) P 00001,275,38485,33209,47776,4636,41630,3777
Dufferin (1302031) P 00000,230,62207,56593,64050,4932,54126,3894
Saint Stephen (1302034) P 00000,825,37430,35328,46623,2121,40585,1695
St. Stephen (1302037) T 00000,2020,36739,34206,47396,1811,40880,1434
Saint James (1302039) P 00000,530,36461,33397,43314,2070,38211,1679
Saint David (1302042) P 00000,590,41215,36519,51658,3274,43605,2607
Dumbarton (1302044) P 00000,155,27336,26387,41900,5468,36693,4231
Grand Manan (1302052) VL 00000,1045,40941,35803,49292,2390,41898,1774
Sunbury (1303)   00010,9510,55889,47435,59342,671,49879,520
Blissville (1303001) P 00000,320,42062,39242,53512,4149,45686,2959
Gladstone (1303004) P 00000,205,43329,38989,43989,3904,38477,3221
Tracy (1303005) VL 00000,240,36301,34531,44178,3236,38610,2443
Fredericton Junction (1303006) VL 00000,265,49965,43309,52072,4124,44615,3144
Lincoln (1303008) P 00000,2220,54229,46356,57132,1311,48407,1025
Burton (1303011) P 00010,1755,58732,49740,61052,1501,51659,1175
Oromocto (1303012) T 00010,3085,64674,53694,68238,1210,56053,942
Oromocto 26 (1303013) IRI 01010,90,24960,24960,29210,0,28648,0
Sheffield (1303014) P 01010,375,40768,34939,43216,2821,37242,2244
Maugerville (1303016) P 00000,645,49967,43528,57800,3012,48876,2298
Northfield (1303018) P 00000,300,35480,34712,42726,3764,37675,3030
Queens (1304)   01000,5075,37621,34419,45377,952,39101,737
Petersville (1304001) P 00010,305,43408,39200,49304,3889,43221,3137
Gagetown (1304004) P 01010,130,39021,33389,42578,3961,36599,3065
Gagetown (1304005) VL 00010,285,50413,44488,51941,4122,43501,3173
Hampstead (1304006) P 00010,115,39974,35027,43245,6455,36618,5571
Wickham (1304008) P 02010,195,40091,38212,41553,3024,36375,2241
Cambridge (1304011) P 01010,270,34050,32542,45606,4004,39261,3146
Cambridge-Narrows (1304013) VL 01010,335,45225,40458,57817,5548,47988,4135
Johnston (1304014) P 01000,290,36208,33937,49377,3883,42555,2959
Brunswick (1304016) P 01000,0,0,0,0,0,0,0
Waterborough (1304018) P 01010,395,27749,27749,38378,2900,34026,2368
Canning (1304021) P 00010,425,51020,43879,57224,4086,48849,3228
Minto (1304022) VL 00000,1150,32066,30128,38219,1513,34078,1189
Chipman (1304024) P 00000,460,39112,33342,50681,3992,40471,2897
Chipman (1304025) VL 01000,615,35125,33106,41422,2184,36658,1757
Kings (1305)   00000,24380,57523,49098,70538,911,57311,606
Hammond (1305001) P 01010,135,35866,32696,40802,4348,36244,3509
Upham (1305004) P 00000,490,35922,33179,45295,2825,39437,2213
Hampton (1305006) P 00000,995,58047,49921,65523,2709,54344,1976
Hampton (1305007) T 00000,1410,63598,52945,70122,2517,57482,1814
Rothesay (1305008) P 00000,115,57478,46470,62437,7120,51373,5337
Westfield (1305011) P 00000,780,48722,41190,57400,2767,47924,2105
Kingston (1305014) P 00000,1145,47635,42075,59183,3255,49266,2139
Grand Bay-Westfield (1305015) TV 00000,1790,63279,54838,76217,2857,61695,1955
Norton (1305016) P 00000,440,44128,38810,51263,3090,43934,2382
Norton (1305018) VL 00000,490,42360,37597,44625,2466,39106,1971
Sussex (1305021) P 00000,910,52380,46688,59631,2433,49957,1824
Sussex (1305022) T 00000,1850,35257,32920,47125,2219,40478,1671
Sussex Corner (1305023) VL 00000,600,42012,37537,46742,2641,39367,2070
Waterford (1305024) P 00010,190,54167,45719,52734,3962,44385,3065
Cardwell (1305026) P 00000,580,42512,35765,45792,2542,39763,1987
Havelock (1305028) P 01010,460,44743,39643,62201,11196,52314,8249
Studholm (1305031) P 00000,1295,44605,39566,54338,2625,46990,2174
