Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Port Blandford (1007036) T 01000,225,41583,35032,46630,4106,39375,3035
Traytown (1007037) T 00000,125,47271,40816,47634,4850,39501,3631
Savage Cove-Sandy Cove (1007039) T 00000,0,0,0,0,0,0,0
Terra Nova (1007040) T 02000,0,0,0,0,0,0,0
Happy Adventure (1007041) T 00000,0,0,0,0,0,0,0
Eastport (1007042) T 00010,230,32845,30565,40493,3998,35462,3042
Sandringham (1007043) T 00000,95,33358,31015,37237,3951,33935,3151
Glovertown (1007044) T 00000,765,40643,35308,47021,2394,40851,1868
Salvage (1007046) T 00000,0,0,0,0,0,0,0
Gambo (1007047) T 00000,785,38967,35949,42934,1965,37388,1519
St. Brendan's (1007048) T 00000,0,0,0,0,0,0,0
Hare Bay (1007049) T 00000,395,37530,35243,37597,2104,34167,1766
Centreville-Wareham-Trinity (1007050) T 01000,435,28345,28122,37625,3058,33628,2405
Greenspond (1007054) T 00000,135,47759,41846,42654,2822,37850,2434
"Division No. 7, Subd. A (1007056) SNO 01010",0,0,0,0,0,0,0
Dover (1007057) T 00000,245,25599,25599,34264,3435,30985,2789
New-Wes-Valley (1007060) T 00010,925,49047,42047,52256,2018,45114,1563
Indian Bay (1007067) T 01000,0,0,0,0,0,0,0
Division No. 8 (1008)   01000,15435,36256,33284,43002,530,37475,402
"Division No. 8, Subd. M (1008001) SNO 01010",0,0,0,0,0,0,0
Lumsden (1008004) T 01000,200,44268,39347,50096,4140,42647,3153
Musgrave Harbour (1008006) T 00000,420,35668,31089,40528,2560,35858,2078
"Division No. 8, Subd. L (1008008) SNO 01000",1260,35815,33471,39215,1411,33785,1197
Carmanville (1008011) T 00010,290,32723,30417,42142,3716,36787,2886
Fogo Island Region (Part) (1008020) RG 00010,195,32242,29289,33452,3028,30339,2521
Fogo (1008021) T 01000,295,41064,34761,42565,2419,37690,1996
Joe Batt's Arm-Barr'd Islands-Shoal Bay (1008022) T 01010,305,34026,32553,39232,2652,34986,2194
Tilting (1008023) T 01000,0,0,0,0,0,0,0
Change Islands (1008024) T 01010,130,23294,23241,37268,5618,33010,4421
